,dataset,topic,language,topics,subtopics,documents,tokens,mean_doc_size,coref_chain,mentions,mean_mention_density,singletons,cross-subtopic-chains,cross-subtopic-mentions,coref_chain_entity,coref_chain_event,mentions_entity,mentions_event,singletons_entity,singletons_event,average_size_all,phrasing_diversity_weighted_all,unique_lemmas_avg_all,unique_lemmas_sum_all,lexical_ambiguity_all,average_size_wo_singl,phrasing_diversity_weighted_wo_singl,unique_lemmas_avg_wo_singl,unique_lemmas_sum_wo_singl,lexical_ambiguity_wo_singl
ECBplus\1\,ECBplus,1,,1,2,39,6820,174.87,98,755,19.36,118,0,0,115,101,468,287,72,46,3.5,1.68,1.58,236,1.49,8.59,1.84,2.76,152,1.36
ECBplus\10\,ECBplus,10,,1,2,21,6738,320.86,27,198,9.43,57,2,29,74,10,153,45,56,1,2.36,1.04,1.21,76,1.39,5.56,1.05,1.72,38,1.24
ECBplus\11\,ECBplus,11,,1,2,16,4304,269.0,24,159,9.94,42,3,33,55,11,110,49,41,1,2.41,1.15,1.3,73,1.18,5.04,1.2,1.87,39,1.1
ECBplus\12\,ECBplus,12,,1,2,30,10337,344.57,39,375,12.5,60,3,75,73,26,239,136,55,5,3.79,0.94,1.52,108,1.41,8.46,0.93,2.38,68,1.32
ECBplus\13\,ECBplus,13,,1,2,33,11145,337.73,29,266,8.06,60,3,51,72,17,164,102,55,5,2.99,1.29,1.38,100,1.31,7.32,1.37,2.21,58,1.21
ECBplus\14\,ECBplus,14,,1,2,21,3596,171.24,24,163,7.76,26,0,0,40,10,97,66,26,0,3.26,1.11,1.48,61,1.26,6.14,1.13,2.09,39,1.26
ECBplus\16\,ECBplus,16,,1,2,14,8447,603.36,37,193,13.79,47,0,0,63,21,133,60,44,3,2.3,1.82,1.46,95,1.31,4.89,2.16,2.39,55,1.24
ECBplus\18\,ECBplus,18,,1,2,27,12466,461.7,46,372,13.78,31,0,0,53,24,210,162,31,0,4.83,1.54,1.94,122,1.28,7.7,1.6,2.64,96,1.28
ECBplus\19\,ECBplus,19,,1,2,25,15440,617.6,47,319,12.76,55,0,0,73,29,191,128,52,3,3.13,1.69,1.7,139,1.32,6.86,1.86,2.92,91,1.31
ECBplus\2\,ECBplus,2,,1,2,21,8703,414.43,39,327,15.57,65,2,12,79,25,200,127,59,6,3.14,1.39,1.62,134,1.28,7.97,1.5,3.0,76,1.32
ECBplus\20\,ECBplus,20,,1,2,15,5114,340.93,39,237,15.8,37,1,14,61,15,145,92,37,0,3.12,1.81,1.7,98,1.36,5.74,1.98,2.56,71,1.28
ECBplus\21\,ECBplus,21,,1,2,26,7433,285.88,50,431,16.58,45,0,0,65,30,262,169,43,2,4.54,1.19,1.77,132,1.36,9.0,1.22,2.74,95,1.34
ECBplus\22\,ECBplus,22,,1,2,23,6155,267.61,47,360,15.65,56,0,0,80,23,226,134,56,0,3.5,1.67,1.66,138,1.3,6.59,1.79,2.48,97,1.26
ECBplus\23\,ECBplus,23,,1,2,21,3709,176.62,29,298,14.19,36,2,31,52,13,185,113,36,0,4.58,1.33,1.83,80,1.52,9.03,1.38,2.86,54,1.59
ECBplus\24\,ECBplus,24,,1,2,26,3831,147.35,41,324,12.46,44,1,8,68,17,225,99,44,0,3.81,1.81,1.75,113,1.37,7.13,1.94,2.64,85,1.28
ECBplus\25\,ECBplus,25,,1,2,26,7608,292.62,27,323,12.42,58,1,42,72,13,208,115,58,0,3.8,0.54,1.38,85,1.4,10.15,0.44,2.23,47,1.28
ECBplus\26\,ECBplus,26,,1,2,24,9227,384.46,33,381,15.88,58,0,0,76,15,245,136,58,0,4.19,1.57,1.66,126,1.23,10.35,1.68,2.94,82,1.16
ECBplus\27\,ECBplus,27,,1,2,28,11621,415.04,36,559,19.96,131,5,143,141,26,416,143,124,7,3.35,1.39,1.47,159,1.58,12.2,1.51,3.23,88,1.35
ECBplus\28\,ECBplus,28,,1,2,25,14735,589.4,39,503,20.12,102,4,59,115,26,327,176,97,5,3.57,0.89,1.5,143,1.48,9.62,0.86,2.67,88,1.28
ECBplus\29\,ECBplus,29,,1,2,24,14987,624.46,38,461,19.21,110,1,53,129,19,315,146,108,2,3.11,1.33,1.4,147,1.49,9.24,1.44,2.55,86,1.27
ECBplus\3\,ECBplus,3,,1,2,20,7697,384.85,52,336,16.8,77,0,0,103,26,239,97,73,4,2.6,2.09,1.52,155,1.31,6.05,2.47,2.63,93,1.24
ECBplus\30\,ECBplus,30,,1,2,27,8624,319.41,48,589,21.81,193,0,0,221,20,420,169,192,1,2.44,1.64,1.41,193,1.77,8.57,1.96,3.15,95,1.55
ECBplus\31\,ECBplus,31,,1,2,25,15801,632.04,37,473,18.92,167,1,14,185,19,354,119,167,0,2.32,1.23,1.25,158,1.66,9.15,1.37,2.58,78,1.18
ECBplus\32\,ECBplus,32,,1,2,19,5550,292.11,36,335,17.63,59,0,0,76,19,227,108,54,5,3.53,1.2,1.53,108,1.39,8.06,1.24,2.47,70,1.27
ECBplus\33\,ECBplus,33,,1,2,16,6767,422.94,53,441,27.56,109,0,0,134,28,297,144,107,2,2.72,1.81,1.54,181,1.41,7.2,2.1,2.93,108,1.28
ECBplus\34\,ECBplus,34,,1,2,27,8231,304.85,21,397,14.7,129,2,74,140,10,318,79,127,2,2.65,2.22,1.49,172,1.34,13.35,2.82,4.7,91,1.11
ECBplus\35\,ECBplus,35,,1,2,21,6047,287.95,28,302,14.38,39,2,26,50,17,157,145,38,1,4.51,0.83,1.54,86,1.29,9.39,0.8,2.29,60,1.2
ECBplus\36\,ECBplus,36,,1,2,19,12772,672.21,48,323,17.0,73,1,10,94,27,217,106,68,5,2.67,1.28,1.4,144,1.25,5.59,1.36,2.09,91,1.13
ECBplus\37\,ECBplus,37,,1,2,21,7876,375.05,56,411,19.57,75,3,13,94,37,216,195,73,2,3.14,1.4,1.56,124,1.66,6.49,1.5,2.43,80,1.58
ECBplus\38\,ECBplus,38,,1,2,15,2861,190.73,26,217,14.47,38,3,30,51,13,128,89,35,3,3.39,1.79,1.67,72,1.53,7.12,1.96,2.72,49,1.45
ECBplus\39\,ECBplus,39,,1,2,25,7819,312.76,33,319,12.76,72,6,93,90,15,252,67,70,2,3.04,2.03,1.77,130,1.47,8.64,2.35,3.89,77,1.48
ECBplus\4\,ECBplus,4,,1,2,24,9762,406.75,29,277,11.54,68,0,0,77,20,190,87,62,6,2.86,1.41,1.45,128,1.13,8.5,1.55,2.83,65,1.11
ECBplus\40\,ECBplus,40,,1,2,21,10765,512.62,28,246,11.71,68,3,41,83,13,172,74,67,1,2.56,1.2,1.47,115,1.3,6.36,1.28,2.61,66,1.23
ECBplus\41\,ECBplus,41,,1,2,20,13840,692.0,61,471,23.55,146,0,0,170,37,349,122,135,11,2.28,2.5,1.46,200,1.52,5.98,3.22,2.79,107,1.4
ECBplus\42\,ECBplus,42,,1,2,23,4991,217.0,28,283,12.3,45,4,79,58,15,199,84,44,1,3.88,1.53,1.82,99,1.36,8.5,1.63,3.14,74,1.22
ECBplus\43\,ECBplus,43,,1,2,23,14809,643.87,29,521,22.65,192,2,95,204,17,405,116,190,2,2.36,1.65,1.36,225,1.36,13.5,2.04,4.29,88,1.24
ECBplus\44\,ECBplus,44,,1,2,19,8137,428.26,31,519,27.32,185,1,73,194,22,366,153,183,2,2.4,1.37,1.34,207,1.44,11.82,1.58,3.64,87,1.26
ECBplus\45\,ECBplus,45,,1,2,20,4301,215.05,56,513,25.65,87,0,0,109,34,318,195,84,3,3.59,0.74,1.41,157,1.32,8.25,0.68,2.16,84,1.37
ECBplus\5\,ECBplus,5,,1,2,23,9762,424.43,19,219,9.52,54,2,60,64,9,164,55,53,1,3.0,1.82,1.67,113,1.12,9.59,2.11,3.88,64,1.09
ECBplus\6\,ECBplus,6,,1,2,20,7081,354.05,22,210,10.5,41,0,0,52,11,133,77,40,1,3.33,1.38,1.56,82,1.27,7.68,1.47,2.59,52,1.21
ECBplus\7\,ECBplus,7,,1,2,21,6559,312.33,29,230,10.95,23,1,33,37,15,145,85,21,2,4.42,0.97,1.65,65,1.34,8.74,0.96,2.48,45,1.29
ECBplus\8\,ECBplus,8,,1,2,19,10261,540.05,45,238,12.53,25,0,0,43,27,142,96,22,3,3.4,1.36,1.54,100,1.16,5.42,1.42,2.0,73,1.15
ECBplus\9\,ECBplus,9,,1,2,23,14638,636.43,30,220,9.57,55,9,83,71,14,167,53,53,2,2.59,1.42,1.4,109,1.18,5.82,1.57,2.21,66,1.09
ECBplus\\,ECBplus,,,43,86,976,377367,386.65,1628,15094,15.47,3258,67,1303,3950,936,10094,5000,3110,148,3.09,1.46,1.51,2772,2.74,7.98,1.59,2.7,1858,2.24
