,composite_chain_id,coref_chain,dataset,subtopic_id,language,mentions,phrasing_diversity,unique_lemmas
0,OCC2Ap6m2srxAK5vJ9nfxwazA/FCC//,OCC2Ap6m2srxAK5vJ9nfxwazA,FCC,,,2,2.0,2
1,OCC2LCRAv9aEWjA2zNnKcoKvh/FCC//,OCC2LCRAv9aEWjA2zNnKcoKvh,FCC,,,20,19.0,17
2,OCC2VxYFVSCg7TVsYKaVNBSqA/FCC//,OCC2VxYFVSCg7TVsYKaVNBSqA,FCC,,,1,1.0,1
3,OCC2btPMS5TXGDnk4Fec3XaYW/FCC//,OCC2btPMS5TXGDnk4Fec3XaYW,FCC,,,9,9.0,7
4,OCC32EbpkG2hWv7JBahJs53Wj/FCC//,OCC32EbpkG2hWv7JBahJs53Wj,FCC,,,1,1.0,1
5,OCC3VL8QW58RFn8g8njViTVKP/FCC//,OCC3VL8QW58RFn8g8njViTVKP,FCC,,,4,4.0,3
6,OCC3Z76XQikovMQzGD6GFwdng/FCC//,OCC3Z76XQikovMQzGD6GFwdng,FCC,,,10,10.0,9
7,OCC3boFJAASSebMpFtcN6BuFU/FCC//,OCC3boFJAASSebMpFtcN6BuFU,FCC,,,4,4.0,4
8,OCC3j8jud2tH76QxJnEfWUbVe/FCC//,OCC3j8jud2tH76QxJnEfWUbVe,FCC,,,1,1.0,1
9,OCC3mRymBJ3RMbHPqNJB2eerr/FCC//,OCC3mRymBJ3RMbHPqNJB2eerr,FCC,,,7,5.0,5
10,OCC3uJLuu8NCE4SK8HiXKi8ZC/FCC//,OCC3uJLuu8NCE4SK8HiXKi8ZC,FCC,,,55,46.0,40
11,OCC44TVwdYSXhHqxU62CXrkBB/FCC//,OCC44TVwdYSXhHqxU62CXrkBB,FCC,,,2,2.0,2
12,OCC4Vxa44gBmfJ58Lm3ZD4yKh/FCC//,OCC4Vxa44gBmfJ58Lm3ZD4yKh,FCC,,,65,46.846,40
13,OCC4b2JirthBJypBGcMiZb4Rf/FCC//,OCC4b2JirthBJypBGcMiZb4Rf,FCC,,,5,5.0,5
14,OCC4bHxQTPw66zbuG83RioiFy/FCC//,OCC4bHxQTPw66zbuG83RioiFy,FCC,,,3,3.0,3
15,OCC4dnkgwycwZ8znBBxUpiqCN/FCC//,OCC4dnkgwycwZ8znBBxUpiqCN,FCC,,,6,6.0,6
16,OCC4jM38shqaGBdc9pdZP2imm/FCC//,OCC4jM38shqaGBdc9pdZP2imm,FCC,,,2,2.0,2
