,composite_chain_id,coref_chain,dataset,topic_id,language,mentions,phrasing_diversity,unique_lemmas
0,allen-p_inbox_1_0_OTH/CEREC//,allen-p_inbox_1_0_OTH,CEREC,,,14,0.311,4
1,allen-p_inbox_1_1_PER/CEREC//,allen-p_inbox_1_1_PER,CEREC,,,9,0.444,3
2,allen-p_inbox_1_2_OTH/CEREC//,allen-p_inbox_1_2_OTH,CEREC,,,9,1.2,3
3,allen-p_inbox_1_3_GPE/CEREC//,allen-p_inbox_1_3_GPE,CEREC,,,3,0.167,2
4,allen-p_inbox_1_4_OTH/CEREC//,allen-p_inbox_1_4_OTH,CEREC,,,2,0.0,1
5,allen-p_inbox_1_5_OTH/CEREC//,allen-p_inbox_1_5_OTH,CEREC,,,1,1.0,1
6,allen-p_inbox_67_0_PER/CEREC//,allen-p_inbox_67_0_PER,CEREC,,,14,2.0,5
7,allen-p_inbox_67_10_OTH/CEREC//,allen-p_inbox_67_10_OTH,CEREC,,,2,0.5,2
8,allen-p_inbox_67_11_PER/CEREC//,allen-p_inbox_67_11_PER,CEREC,,,2,0.25,1
9,allen-p_inbox_67_12_ORG/CEREC//,allen-p_inbox_67_12_ORG,CEREC,,,3,2.0,1
10,allen-p_inbox_67_13_PER/CEREC//,allen-p_inbox_67_13_PER,CEREC,,,10,0.75,4
11,allen-p_inbox_67_14_PER/CEREC//,allen-p_inbox_67_14_PER,CEREC,,,14,1.131,7
12,allen-p_inbox_67_15_OTH/CEREC//,allen-p_inbox_67_15_OTH,CEREC,,,2,0.25,1
13,allen-p_inbox_67_16_CAR/CEREC//,allen-p_inbox_67_16_CAR,CEREC,,,2,0.25,1
14,allen-p_inbox_67_17_PER/CEREC//,allen-p_inbox_67_17_PER,CEREC,,,8,0.75,5
15,allen-p_inbox_67_18_OTH/CEREC//,allen-p_inbox_67_18_OTH,CEREC,,,4,0.75,3
16,allen-p_inbox_67_19_OTH/CEREC//,allen-p_inbox_67_19_OTH,CEREC,,,2,2.0,2
17,allen-p_inbox_67_1_ORG/CEREC//,allen-p_inbox_67_1_ORG,CEREC,,,3,3.0,3
18,allen-p_inbox_67_20_OTH/CEREC//,allen-p_inbox_67_20_OTH,CEREC,,,1,1.0,1
19,allen-p_inbox_67_21_PER/CEREC//,allen-p_inbox_67_21_PER,CEREC,,,3,3.0,3
20,allen-p_inbox_67_22_OTH/CEREC//,allen-p_inbox_67_22_OTH,CEREC,,,1,1.0,1
21,allen-p_inbox_67_23_OTH/CEREC//,allen-p_inbox_67_23_OTH,CEREC,,,1,1.0,1
22,allen-p_inbox_67_24_PER/CEREC//,allen-p_inbox_67_24_PER,CEREC,,,2,2.0,2
23,allen-p_inbox_67_25_PER/CEREC//,allen-p_inbox_67_25_PER,CEREC,,,2,2.0,2
24,allen-p_inbox_67_26_PER/CEREC//,allen-p_inbox_67_26_PER,CEREC,,,2,2.0,2
25,allen-p_inbox_67_27_OTH/CEREC//,allen-p_inbox_67_27_OTH,CEREC,,,1,1.0,1
26,allen-p_inbox_67_28_GPE/CEREC//,allen-p_inbox_67_28_GPE,CEREC,,,1,1.0,1
27,allen-p_inbox_67_2_PER/CEREC//,allen-p_inbox_67_2_PER,CEREC,,,5,3.2,5
28,allen-p_inbox_67_3_PER/CEREC//,allen-p_inbox_67_3_PER,CEREC,,,3,3.0,3
29,allen-p_inbox_67_4_PER/CEREC//,allen-p_inbox_67_4_PER,CEREC,,,3,3.0,2
30,allen-p_inbox_67_5_OTH/CEREC//,allen-p_inbox_67_5_OTH,CEREC,,,24,0.229,3
31,allen-p_inbox_67_6_ORG/CEREC//,allen-p_inbox_67_6_ORG,CEREC,,,21,0.619,5
32,allen-p_inbox_67_7_ORG/CEREC//,allen-p_inbox_67_7_ORG,CEREC,,,2,0.5,2
