,composite_chain_id,coref_chain,dataset,topic_id,language,mentions,phrasing_diversity,unique_lemmas
0,OCC23wfMDViws9ca5B8ayukGh/FCC_T//,OCC23wfMDViws9ca5B8ayukGh,FCC_T,,,1,1.0,1
1,OCC2Ap6m2srxAK5vJ9nfxwazA/FCC_T//,OCC2Ap6m2srxAK5vJ9nfxwazA,FCC_T,,,5,1.4,3
2,OCC2GYzvxoyB2ejKtuNvVQbry/FCC_T//,OCC2GYzvxoyB2ejKtuNvVQbry,FCC_T,,,1,1.0,1
3,OCC2JBcxZbRYebpNSb4Qt7gZG/FCC_T//,OCC2JBcxZbRYebpNSb4Qt7gZG,FCC_T,,,10,1.85,5
4,OCC2LCRAv9aEWjA2zNnKcoKvh/FCC_T//,OCC2LCRAv9aEWjA2zNnKcoKvh,FCC_T,,,24,1.621,6
5,OCC2VxYFVSCg7TVsYKaVNBSqA/FCC_T//,OCC2VxYFVSCg7TVsYKaVNBSqA,FCC_T,,,1,1.0,1
6,OCC2btPMS5TXGDnk4Fec3XaYW/FCC_T//,OCC2btPMS5TXGDnk4Fec3XaYW,FCC_T,,,8,8.0,8
7,OCC2hPxmfBLAM3tEcKRvLbNNh/FCC_T//,OCC2hPxmfBLAM3tEcKRvLbNNh,FCC_T,,,1,1.0,1
8,OCC2uvymFspFw5sqHxwuoUdGN/FCC_T//,OCC2uvymFspFw5sqHxwuoUdGN,FCC_T,,,1,1.0,1
9,OCC32EbpkG2hWv7JBahJs53Wj/FCC_T//,OCC32EbpkG2hWv7JBahJs53Wj,FCC_T,,,1,1.0,1
10,OCC32R5fyrRnN7NvcRnxNGMtw/FCC_T//,OCC32R5fyrRnN7NvcRnxNGMtw,FCC_T,,,3,3.0,3
11,OCC3Aha6HwmUEPwnqutS8qYno/FCC_T//,OCC3Aha6HwmUEPwnqutS8qYno,FCC_T,,,1,1.0,1
12,OCC3GFTnnSHwJyzvP5bWZRD5k/FCC_T//,OCC3GFTnnSHwJyzvP5bWZRD5k,FCC_T,,,5,0.5,2
13,OCC3TQEyaDfXDBQmKBEEQQvY6/FCC_T//,OCC3TQEyaDfXDBQmKBEEQQvY6,FCC_T,,,1,1.0,1
14,OCC3VL8QW58RFn8g8njViTVKP/FCC_T//,OCC3VL8QW58RFn8g8njViTVKP,FCC_T,,,5,2.8,3
15,OCC3Z76XQikovMQzGD6GFwdng/FCC_T//,OCC3Z76XQikovMQzGD6GFwdng,FCC_T,,,10,3.78,6
16,OCC3boFJAASSebMpFtcN6BuFU/FCC_T//,OCC3boFJAASSebMpFtcN6BuFU,FCC_T,,,6,2.333,5
17,OCC3j8jud2tH76QxJnEfWUbVe/FCC_T//,OCC3j8jud2tH76QxJnEfWUbVe,FCC_T,,,1,1.0,1
18,OCC3mRymBJ3RMbHPqNJB2eerr/FCC_T//,OCC3mRymBJ3RMbHPqNJB2eerr,FCC_T,,,9,1.852,4
19,OCC3pP3eJMZ8WoeiRDTDCE6ui/FCC_T//,OCC3pP3eJMZ8WoeiRDTDCE6ui,FCC_T,,,1,1.0,1
20,OCC3tHjXLbEp6tpWdZvUaNsbj/FCC_T//,OCC3tHjXLbEp6tpWdZvUaNsbj,FCC_T,,,1,1.0,1
21,OCC3uJLuu8NCE4SK8HiXKi8ZC/FCC_T//,OCC3uJLuu8NCE4SK8HiXKi8ZC,FCC_T,,,55,8.601,17
22,OCC44TVwdYSXhHqxU62CXrkBB/FCC_T//,OCC44TVwdYSXhHqxU62CXrkBB,FCC_T,,,2,2.0,2
23,OCC48Xq5Pyt4hmX8LFRVoG5ah/FCC_T//,OCC48Xq5Pyt4hmX8LFRVoG5ah,FCC_T,,,6,4.167,5
24,OCC4T4aK2f9x8tvCfbfdRp5Cx/FCC_T//,OCC4T4aK2f9x8tvCfbfdRp5Cx,FCC_T,,,1,1.0,1
25,OCC4Vxa44gBmfJ58Lm3ZD4yKh/FCC_T//,OCC4Vxa44gBmfJ58Lm3ZD4yKh,FCC_T,,,70,1.76,13
