,composite_chain_id,coref_chain,dataset,topic_id,language,mentions,phrasing_diversity,unique_lemmas
0,abcnews.go.com-ABC_Univision-ABC_Univision-murdered-chilean-singers-family-seeks-justice-us-%E2%80%9Dhttp:-edition.cnn.com-2012-12-29-world-americas-chile-victor-jara-charges-index.html%E2%80%9D/HyperCoref//,abcnews.go.com-ABC_Univision-ABC_Univision-murdered-chilean-singers-family-seeks-justice-us-%E2%80%9Dhttp:-edition.cnn.com-2012-12-29-world-americas-chile-victor-jara-charges-index.html%E2%80%9D,HyperCoref,,,1,1.0,1
1,abcnews.go.com-ABC_Univision-ABC_Univision-murdered-chilean-singers-family-seeks-justice-us-%E2%80%9Dhttp:-www.lanacion.cl-victor-jara-familia-demando-en-eeuu-a-supuesto-asesino-noticias-2013-09-05-130321.html%E2%80%9D/HyperCoref//,abcnews.go.com-ABC_Univision-ABC_Univision-murdered-chilean-singers-family-seeks-justice-us-%E2%80%9Dhttp:-www.lanacion.cl-victor-jara-familia-demando-en-eeuu-a-supuesto-asesino-noticias-2013-09-05-130321.html%E2%80%9D,HyperCoref,,,1,1.0,1
2,abcnews.go.com-ABC_Univision-ABC_Univision-uruguay-pushes-marijuana-law-polls-story/HyperCoref//,abcnews.go.com-ABC_Univision-ABC_Univision-uruguay-pushes-marijuana-law-polls-story,HyperCoref,,,4,4.0,4
3,abcnews.go.com-ABC_Univision-Entertainment-national-empanada-day-awesome-food-truck-story/HyperCoref//,abcnews.go.com-ABC_Univision-Entertainment-national-empanada-day-awesome-food-truck-story,HyperCoref,,,1,1.0,1
4,abcnews.go.com-ABC_Univision-News-4500-dreamers-approved-deferred-action-story/HyperCoref//,abcnews.go.com-ABC_Univision-News-4500-dreamers-approved-deferred-action-story,HyperCoref,,,5,2.8,4
5,abcnews.go.com-ABC_Univision-News-congress-fighting-student-loans-storynew/HyperCoref//,abcnews.go.com-ABC_Univision-News-congress-fighting-student-loans-storynew,HyperCoref,,,1,1.0,1
6,abcnews.go.com-ABC_Univision-News-debt-creates-long-term-burdens-student-borrowers-story/HyperCoref//,abcnews.go.com-ABC_Univision-News-debt-creates-long-term-burdens-student-borrowers-story,HyperCoref,,,4,4.0,4
7,abcnews.go.com-ABC_Univision-News-diversity-lottery-story/HyperCoref//,abcnews.go.com-ABC_Univision-News-diversity-lottery-story,HyperCoref,,,4,4.0,4
8,abcnews.go.com-ABC_Univision-News-ecuador-good-asylum-destination-edward-snowden-story/HyperCoref//,abcnews.go.com-ABC_Univision-News-ecuador-good-asylum-destination-edward-snowden-story,HyperCoref,,,1,1.0,1
9,abcnews.go.com-ABC_Univision-News-exceptional-yorkers-dominican-republic-including-citys-immigrant-story/HyperCoref//,abcnews.go.com-ABC_Univision-News-exceptional-yorkers-dominican-republic-including-citys-immigrant-story,HyperCoref,,,1,1.0,1
10,abcnews.go.com-ABC_Univision-News-fewer-dreamers-applying-deferred-action-november-story/HyperCoref//,abcnews.go.com-ABC_Univision-News-fewer-dreamers-applying-deferred-action-november-story,HyperCoref,,,4,4.0,4
11,abcnews.go.com-ABC_Univision-News-hugo-chavez-cancer-returned-announces-successor-story/HyperCoref//,abcnews.go.com-ABC_Univision-News-hugo-chavez-cancer-returned-announces-successor-story,HyperCoref,,,2,2.0,2
12,abcnews.go.com-ABC_Univision-News-hurricane-sandy-leaves-destruction-wake-story/HyperCoref//,abcnews.go.com-ABC_Univision-News-hurricane-sandy-leaves-destruction-wake-story,HyperCoref,,,2,2.0,2
13,abcnews.go.com-ABC_Univision-News-legitimacy-secure-communities-program-weakened-story/HyperCoref//,abcnews.go.com-ABC_Univision-News-legitimacy-secure-communities-program-weakened-story,HyperCoref,,,1,1.0,1
14,abcnews.go.com-ABC_Univision-News-meet-arizona-dreamer-embodies-struggle-obama-jan-brewer-story/HyperCoref//,abcnews.go.com-ABC_Univision-News-meet-arizona-dreamer-embodies-struggle-obama-jan-brewer-story,HyperCoref,,,2,2.0,2
15,abcnews.go.com-ABC_Univision-News-obama-beats-romney-hispandering-game-university-miami-students-story/HyperCoref//,abcnews.go.com-ABC_Univision-News-obama-beats-romney-hispandering-game-university-miami-students-story,HyperCoref,,,1,1.0,1
16,abcnews.go.com-ABC_Univision-News-page-hurricane-sandy-live-blog-updates-17588403/HyperCoref//,abcnews.go.com-ABC_Univision-News-page-hurricane-sandy-live-blog-updates-17588403,HyperCoref,,,1,1.0,1
17,abcnews.go.com-ABC_Univision-News-page-venezuela-presidential-election-2012-17413482/HyperCoref//,abcnews.go.com-ABC_Univision-News-page-venezuela-presidential-election-2012-17413482,HyperCoref,,,2,2.0,1
18,abcnews.go.com-ABC_Univision-News-places-restrictive-abortion-laws-story/HyperCoref//,abcnews.go.com-ABC_Univision-News-places-restrictive-abortion-laws-story,HyperCoref,,,1,1.0,1
19,abcnews.go.com-ABC_Univision-News-president-barack-obamas-years-immigration-story/HyperCoref//,abcnews.go.com-ABC_Univision-News-president-barack-obamas-years-immigration-story,HyperCoref,,,6,6.0,5
20,abcnews.go.com-ABC_Univision-News-sotomayor-affirmative-action-stubborn-story/HyperCoref//,abcnews.go.com-ABC_Univision-News-sotomayor-affirmative-action-stubborn-story,HyperCoref,,,1,1.0,1
21,abcnews.go.com-ABC_Univision-News-student-loan-deal-set-law-storynew/HyperCoref//,abcnews.go.com-ABC_Univision-News-student-loan-deal-set-law-storynew,HyperCoref,,,1,1.0,1
22,abcnews.go.com-ABC_Univision-News-student-loan-rates-double-july-place-storynew/HyperCoref//,abcnews.go.com-ABC_Univision-News-student-loan-rates-double-july-place-storynew,HyperCoref,,,1,1.0,1
23,abcnews.go.com-ABC_Univision-News-supreme-court-cripples-key-part-voting-rights-act-story/HyperCoref//,abcnews.go.com-ABC_Univision-News-supreme-court-cripples-key-part-voting-rights-act-story,HyperCoref,,,5,5.0,5
24,abcnews.go.com-ABC_Univision-News-texas-abortion-ban-limits-abortions-story/HyperCoref//,abcnews.go.com-ABC_Univision-News-texas-abortion-ban-limits-abortions-story,HyperCoref,,,2,2.0,2
25,abcnews.go.com-ABC_Univision-News-transcript-bipartisan-framework-comprehensive-immigration-reform-story/HyperCoref//,abcnews.go.com-ABC_Univision-News-transcript-bipartisan-framework-comprehensive-immigration-reform-story,HyperCoref,,,8,6.0,6
26,abcnews.go.com-ABC_Univision-News-untold-story-fast-furious-scandal-story/HyperCoref//,abcnews.go.com-ABC_Univision-News-untold-story-fast-furious-scandal-story,HyperCoref,,,2,2.0,2
27,abcnews.go.com-ABC_Univision-News-us-spends-immigration-major-federal-criminal-enforcement-combined-story/HyperCoref//,abcnews.go.com-ABC_Univision-News-us-spends-immigration-major-federal-criminal-enforcement-combined-story,HyperCoref,,,8,7.0,7
28,abcnews.go.com-ABC_Univision-News-venezuela-election-results-hugo-chavez-declared-winner-story/HyperCoref//,abcnews.go.com-ABC_Univision-News-venezuela-election-results-hugo-chavez-declared-winner-story,HyperCoref,,,3,3.0,3
29,abcnews.go.com-ABC_Univision-News-witnesses-story-chula-vista-woman-shot-border-patrol-story/HyperCoref//,abcnews.go.com-ABC_Univision-News-witnesses-story-chula-vista-woman-shot-border-patrol-story,HyperCoref,,,2,2.0,2
30,abcnews.go.com-ABC_Univision-News-york-times-times-story/HyperCoref//,abcnews.go.com-ABC_Univision-News-york-times-times-story,HyperCoref,,,7,7.0,7
31,abcnews.go.com-ABC_Univision-Politics-boston-bombing-derail-immigration-reform-analysis-story/HyperCoref//,abcnews.go.com-ABC_Univision-Politics-boston-bombing-derail-immigration-reform-analysis-story,HyperCoref,,,3,3.0,3
32,abcnews.go.com-ABC_Univision-Politics-business-labor-reach-agreement-future-immigration-story/HyperCoref//,abcnews.go.com-ABC_Univision-Politics-business-labor-reach-agreement-future-immigration-story,HyperCoref,,,5,5.0,5
33,abcnews.go.com-ABC_Univision-Politics-business-labor-strike-deal-immigration-reform-story/HyperCoref//,abcnews.go.com-ABC_Univision-Politics-business-labor-strike-deal-immigration-reform-story,HyperCoref,,,5,5.0,5
34,abcnews.go.com-ABC_Univision-Politics-cbo-border-surge-cut-illegal-immigration-half-story/HyperCoref//,abcnews.go.com-ABC_Univision-Politics-cbo-border-surge-cut-illegal-immigration-half-story,HyperCoref,,,4,4.0,4
35,abcnews.go.com-ABC_Univision-Politics-cpac-conservatives-wrestle-immigration-divide-story/HyperCoref//,abcnews.go.com-ABC_Univision-Politics-cpac-conservatives-wrestle-immigration-divide-story,HyperCoref,,,4,3.0,3
36,abcnews.go.com-ABC_Univision-Politics-cries-gun-control-wake-shootings-yield-policy-story/HyperCoref//,abcnews.go.com-ABC_Univision-Politics-cries-gun-control-wake-shootings-yield-policy-story,HyperCoref,,,4,3.0,3
37,abcnews.go.com-ABC_Univision-Politics-dreamers-connecticut-licenses-story/HyperCoref//,abcnews.go.com-ABC_Univision-Politics-dreamers-connecticut-licenses-story,HyperCoref,,,1,1.0,1
38,abcnews.go.com-ABC_Univision-Politics-dreamers-talk-daca-deportation-relief-program-year-story/HyperCoref//,abcnews.go.com-ABC_Univision-Politics-dreamers-talk-daca-deportation-relief-program-year-story,HyperCoref,,,4,3.0,3
39,abcnews.go.com-ABC_Univision-Politics-early-voters-florida-face-chaotic-polling-sites-story/HyperCoref//,abcnews.go.com-ABC_Univision-Politics-early-voters-florida-face-chaotic-polling-sites-story,HyperCoref,,,5,2.133,3
40,abcnews.go.com-ABC_Univision-Politics-gop-break-unwritten-rule-pass-immigration-reform-story/HyperCoref//,abcnews.go.com-ABC_Univision-Politics-gop-break-unwritten-rule-pass-immigration-reform-story,HyperCoref,,,3,3.0,3
41,abcnews.go.com-ABC_Univision-Politics-gop-dream-act-democrats-story/HyperCoref//,abcnews.go.com-ABC_Univision-Politics-gop-dream-act-democrats-story,HyperCoref,,,4,4.0,4
42,abcnews.go.com-ABC_Univision-Politics-guide-conservative-immigration-bills-house-story/HyperCoref//,abcnews.go.com-ABC_Univision-Politics-guide-conservative-immigration-bills-house-story,HyperCoref,,,4,4.0,4
