,composite_chain_id,coref_chain,dataset,topic_id,language,mentions,phrasing_diversity,unique_lemmas
0,CAR_0_bukavu_101/NiDENT//,CAR_0_bukavu_101,NiDENT,,,1,1.0,1
1,CAR_0_bukavu_140/NiDENT//,CAR_0_bukavu_140,NiDENT,,,13,3.231,5
2,CAR_0_bukavu_140_1/NiDENT//,CAR_0_bukavu_140_1,NiDENT,,,4,0.5,2
3,CAR_0_bukavu_18_1/NiDENT//,CAR_0_bukavu_18_1,NiDENT,,,8,6.0,6
4,CAR_0_bukavu_18_2/NiDENT//,CAR_0_bukavu_18_2,NiDENT,,,17,1.914,5
5,CAR_0_bukavu_18_3/NiDENT//,CAR_0_bukavu_18_3,NiDENT,,,5,0.9,2
6,CAR_0_bukavu_207/NiDENT//,CAR_0_bukavu_207,NiDENT,,,1,1.0,1
7,CAR_0_bukavu_210/NiDENT//,CAR_0_bukavu_210,NiDENT,,,5,0.333,2
8,CAR_0_bukavu_211/NiDENT//,CAR_0_bukavu_211,NiDENT,,,1,1.0,1
9,CAR_0_bukavu_33/NiDENT//,CAR_0_bukavu_33,NiDENT,,,26,2.468,10
10,CAR_0_bukavu_34/NiDENT//,CAR_0_bukavu_34,NiDENT,,,29,5.198,12
11,CAR_0_bukavu_44/NiDENT//,CAR_0_bukavu_44,NiDENT,,,44,1.164,7
12,CAR_0_bukavu_92/NiDENT//,CAR_0_bukavu_92,NiDENT,,,15,4.889,8
13,CAR_1_china_5_1/NiDENT//,CAR_1_china_5_1,NiDENT,,,7,0.571,2
14,CAR_2_israel_10/NiDENT//,CAR_2_israel_10,NiDENT,,,39,3.761,11
15,CAR_2_israel_143/NiDENT//,CAR_2_israel_143,NiDENT,,,4,1.25,2
16,CAR_2_israel_145/NiDENT//,CAR_2_israel_145,NiDENT,,,1,1.0,1
17,CAR_2_israel_25/NiDENT//,CAR_2_israel_25,NiDENT,,,34,4.715,9
18,CAR_2_israel_427/NiDENT//,CAR_2_israel_427,NiDENT,,,2,0.25,1
19,CAR_2_israel_428/NiDENT//,CAR_2_israel_428,NiDENT,,,1,1.0,1
20,CAR_2_israel_429/NiDENT//,CAR_2_israel_429,NiDENT,,,1,1.0,1
21,CAR_2_israel_521/NiDENT//,CAR_2_israel_521,NiDENT,,,2,0.25,1
22,CAR_2_israel_659/NiDENT//,CAR_2_israel_659,NiDENT,,,1,1.0,1
23,CAR_2_israel_88/NiDENT//,CAR_2_israel_88,NiDENT,,,13,2.769,5
24,CAR_3_peru_115/NiDENT//,CAR_3_peru_115,NiDENT,,,4,0.125,2
25,CAR_3_peru_129/NiDENT//,CAR_3_peru_129,NiDENT,,,2,2.0,2
26,CAR_3_peru_15/NiDENT//,CAR_3_peru_15,NiDENT,,,17,8.0,7
27,CAR_3_peru_152/NiDENT//,CAR_3_peru_152,NiDENT,,,2,2.0,2
28,CAR_3_peru_15_1/NiDENT//,CAR_3_peru_15_1,NiDENT,,,1,1.0,1
29,CAR_3_peru_162_2/NiDENT//,CAR_3_peru_162_2,NiDENT,,,1,1.0,1
30,CAR_3_peru_17/NiDENT//,CAR_3_peru_17,NiDENT,,,45,8.69,19
31,CAR_3_peru_193/NiDENT//,CAR_3_peru_193,NiDENT,,,1,1.0,1
32,CAR_3_peru_205/NiDENT//,CAR_3_peru_205,NiDENT,,,1,1.0,1
33,CAR_3_peru_296/NiDENT//,CAR_3_peru_296,NiDENT,,,2,2.0,2
34,CAR_3_peru_4/NiDENT//,CAR_3_peru_4,NiDENT,,,147,11.527,31
35,CAR_3_peru_44/NiDENT//,CAR_3_peru_44,NiDENT,,,65,8.671,14
36,CAR_3_peru_544/NiDENT//,CAR_3_peru_544,NiDENT,,,1,1.0,1
37,CAR_3_peru_545/NiDENT//,CAR_3_peru_545,NiDENT,,,2,0.25,1
38,CAR_3_peru_782/NiDENT//,CAR_3_peru_782,NiDENT,,,1,1.0,1
39,CAR_3_peru_783/NiDENT//,CAR_3_peru_783,NiDENT,,,1,1.0,1
40,CAR_3_peru_86/NiDENT//,CAR_3_peru_86,NiDENT,,,4,1.5,3
