,composite_chain_id,coref_chain,dataset,topic_id,language,mentions,phrasing_diversity,unique_lemmas
0,2uquwJpmwDw3GjAqD/MEANTIME//,2uquwJpmwDw3GjAqD,MEANTIME,,,1,1.0,1
1,FIN2ckHLnd9QimZWVeGw/MEANTIME//,FIN2ckHLnd9QimZWVeGw,MEANTIME,,,1,1.0,1
2,FIN36112210245740722/MEANTIME//,FIN36112210245740722,MEANTIME,,,1,1.0,1
3,FIN39323676120351079/MEANTIME//,FIN39323676120351079,MEANTIME,,,82,2.338,13
4,FIN39324663297288769/MEANTIME//,FIN39324663297288769,MEANTIME,,,26,1.486,5
5,FIN39325939269459429/MEANTIME//,FIN39325939269459429,MEANTIME,,,20,3.449,6
6,FIN39326930888384754/MEANTIME//,FIN39326930888384754,MEANTIME,,,27,1.946,6
7,FIN39327473292302528/MEANTIME//,FIN39327473292302528,MEANTIME,,,5,0.9,2
8,FIN39477410956507459/MEANTIME//,FIN39477410956507459,MEANTIME,,,2,1.0,1
9,FIN39477479261434299/MEANTIME//,FIN39477479261434299,MEANTIME,,,1,1.0,1
10,FIN39480880133290753/MEANTIME//,FIN39480880133290753,MEANTIME,,,1,1.0,1
11,FIN39486420201433790/MEANTIME//,FIN39486420201433790,MEANTIME,,,1,1.0,1
12,FIN39490094871843196/MEANTIME//,FIN39490094871843196,MEANTIME,,,1,1.0,1
13,FIN39493485194331060/MEANTIME//,FIN39493485194331060,MEANTIME,,,1,1.0,1
14,FIN39496666069037044/MEANTIME//,FIN39496666069037044,MEANTIME,,,3,2.0,2
15,FIN39496703588597410/MEANTIME//,FIN39496703588597410,MEANTIME,,,1,1.0,1
16,FIN39498038043532812/MEANTIME//,FIN39498038043532812,MEANTIME,,,1,1.0,1
17,FIN39498080489558939/MEANTIME//,FIN39498080489558939,MEANTIME,,,4,4.0,4
18,FIN39498128122418767/MEANTIME//,FIN39498128122418767,MEANTIME,,,1,1.0,1
19,FIN39499830988680503/MEANTIME//,FIN39499830988680503,MEANTIME,,,1,1.0,1
20,FIN39499870301921717/MEANTIME//,FIN39499870301921717,MEANTIME,,,1,1.0,1
21,FIN39500172694950632/MEANTIME//,FIN39500172694950632,MEANTIME,,,2,2.0,2
22,FIN39561764394171706/MEANTIME//,FIN39561764394171706,MEANTIME,,,1,1.0,1
23,FIN39675204951251977/MEANTIME//,FIN39675204951251977,MEANTIME,,,1,1.0,1
24,FIN39675751188646842/MEANTIME//,FIN39675751188646842,MEANTIME,,,1,1.0,1
25,FIN39675879107047155/MEANTIME//,FIN39675879107047155,MEANTIME,,,5,3.0,3
26,FIN39676254160797920/MEANTIME//,FIN39676254160797920,MEANTIME,,,1,1.0,1
27,FIN39676646219701103/MEANTIME//,FIN39676646219701103,MEANTIME,,,40,1.586,5
28,FIN39755153334854979/MEANTIME//,FIN39755153334854979,MEANTIME,,,16,3.343,5
29,FIN40197049224228580/MEANTIME//,FIN40197049224228580,MEANTIME,,,28,1.728,2
30,FIN40257982401561392/MEANTIME//,FIN40257982401561392,MEANTIME,,,2,0.5,2
31,FIN40264557228902287/MEANTIME//,FIN40264557228902287,MEANTIME,,,4,1.5,3
32,FIN40369405063703585/MEANTIME//,FIN40369405063703585,MEANTIME,,,9,0.309,1
33,FIN40522987686527925/MEANTIME//,FIN40522987686527925,MEANTIME,,,3,1.333,2
34,FIN40540317165195370/MEANTIME//,FIN40540317165195370,MEANTIME,,,3,0.667,2
35,FIN40540689618469900/MEANTIME//,FIN40540689618469900,MEANTIME,,,1,1.0,1
36,FIN43996441595284186/MEANTIME//,FIN43996441595284186,MEANTIME,,,1,1.0,1
37,FIN43996626857482700/MEANTIME//,FIN43996626857482700,MEANTIME,,,4,1.875,2
38,FIN43997387133733071/MEANTIME//,FIN43997387133733071,MEANTIME,,,1,1.0,1
39,FIN43998655660775540/MEANTIME//,FIN43998655660775540,MEANTIME,,,2,0.5,2
40,FIN43998864667879428/MEANTIME//,FIN43998864667879428,MEANTIME,,,1,1.0,1
41,FIN44060642242291052/MEANTIME//,FIN44060642242291052,MEANTIME,,,8,0.133,2
42,FIN44061602416744416/MEANTIME//,FIN44061602416744416,MEANTIME,,,4,2.0,1
43,FIN44082788519490112/MEANTIME//,FIN44082788519490112,MEANTIME,,,3,2.0,2
44,FIN44084029163573456/MEANTIME//,FIN44084029163573456,MEANTIME,,,1,1.0,1
45,FIN44084121631168981/MEANTIME//,FIN44084121631168981,MEANTIME,,,1,1.0,1
46,FIN44084625053963775/MEANTIME//,FIN44084625053963775,MEANTIME,,,4,0.75,2
47,FIN44085454248409183/MEANTIME//,FIN44085454248409183,MEANTIME,,,1,1.0,1
48,FIN44086725819535037/MEANTIME//,FIN44086725819535037,MEANTIME,,,2,0.25,1
49,FIN44152186883953807/MEANTIME//,FIN44152186883953807,MEANTIME,,,1,1.0,1
50,FIN44152284304872155/MEANTIME//,FIN44152284304872155,MEANTIME,,,1,1.0,1
51,FIN44152297550777864/MEANTIME//,FIN44152297550777864,MEANTIME,,,1,1.0,1
52,FIN44152585775576774/MEANTIME//,FIN44152585775576774,MEANTIME,,,3,0.444,1
53,FIN44158480991940202/MEANTIME//,FIN44158480991940202,MEANTIME,,,1,1.0,1
54,FIN44158715337352833/MEANTIME//,FIN44158715337352833,MEANTIME,,,1,1.0,1
55,FIN44159529908035869/MEANTIME//,FIN44159529908035869,MEANTIME,,,3,0.667,2
56,FIN44159687171187229/MEANTIME//,FIN44159687171187229,MEANTIME,,,1,1.0,1
57,FIN44160269826652668/MEANTIME//,FIN44160269826652668,MEANTIME,,,5,0.16,1
58,FIN44160888966446507/MEANTIME//,FIN44160888966446507,MEANTIME,,,2,1.0,1
59,FIN44161804566677888/MEANTIME//,FIN44161804566677888,MEANTIME,,,1,1.0,1
60,FIN44167555912760638/MEANTIME//,FIN44167555912760638,MEANTIME,,,1,1.0,1
61,FIN44167661667484280/MEANTIME//,FIN44167661667484280,MEANTIME,,,2,2.0,1
62,FIN44168057447023860/MEANTIME//,FIN44168057447023860,MEANTIME,,,2,0.25,1
63,FIN44168215648930637/MEANTIME//,FIN44168215648930637,MEANTIME,,,8,2.656,5
64,FIN44168451456823328/MEANTIME//,FIN44168451456823328,MEANTIME,,,1,1.0,1
65,FIN44168897806601481/MEANTIME//,FIN44168897806601481,MEANTIME,,,2,2.0,1
66,FIN44169257552181928/MEANTIME//,FIN44169257552181928,MEANTIME,,,2,1.0,1
67,FIN44169862126831978/MEANTIME//,FIN44169862126831978,MEANTIME,,,1,1.0,1
68,FIN44170042898462974/MEANTIME//,FIN44170042898462974,MEANTIME,,,2,0.5,2
69,FIN44170365610041271/MEANTIME//,FIN44170365610041271,MEANTIME,,,4,0.083,2
70,FIN44170377280523656/MEANTIME//,FIN44170377280523656,MEANTIME,,,1,1.0,1
71,FIN44177585544056899/MEANTIME//,FIN44177585544056899,MEANTIME,,,1,1.0,1
72,FIN44177783736308455/MEANTIME//,FIN44177783736308455,MEANTIME,,,1,1.0,1
