,topic/subtopic_name,doc_id,sent_id,token_id,token,reference
0,corpus_airbus/100911,1MEANTIMEcross,0,0,Northrop,(ORG37154720130514282
1,corpus_airbus/100911,1MEANTIMEcross,0,1,Grumman,ORG37154720130514282)
2,corpus_airbus/100911,1MEANTIMEcross,0,2,en,-
3,corpus_airbus/100911,1MEANTIMEcross,0,3,Airbus-eigenaar,ORG37154720003835631)
4,corpus_airbus/100911,1MEANTIMEcross,0,4,EADS,(ORG37154720003835631
5,corpus_airbus/100911,1MEANTIMEcross,0,5,verslaan,(OTH40007248568632246)
6,corpus_airbus/100911,1MEANTIMEcross,0,6,Boeing,(ORG37154719725500990)
7,corpus_airbus/100911,1MEANTIMEcross,0,7,in,-
8,corpus_airbus/100911,1MEANTIMEcross,0,8,contract,(FIN39498080489558939
9,corpus_airbus/100911,1MEANTIMEcross,0,9,voor,-
10,corpus_airbus/100911,1MEANTIMEcross,0,10,Amerikaans,FIN39498080489558939)
11,corpus_airbus/100911,1MEANTIMEcross,0,11,tankvliegtuig,-
12,corpus_airbus/100911,1MEANTIMEcross,0,12,van,-
13,corpus_airbus/100911,1MEANTIMEcross,0,13,$,-
14,corpus_airbus/100911,1MEANTIMEcross,0,14,40,-
15,corpus_airbus/100911,1MEANTIMEcross,0,15,miljard,-
16,corpus_airbus/100911,1MEANTIMEcross,1,0,01-Mar-08,-
17,corpus_airbus/100911,1MEANTIMEcross,2,0,Northrop,ORG37154720130514282)
18,corpus_airbus/100911,1MEANTIMEcross,2,1,Grumman,(ORG37154720130514282
19,corpus_airbus/100911,1MEANTIMEcross,2,2,en,-
20,corpus_airbus/100911,1MEANTIMEcross,2,3,European,-
21,corpus_airbus/100911,1MEANTIMEcross,2,4,Aeronautic,-
22,corpus_airbus/100911,1MEANTIMEcross,2,5,Defence,-
23,corpus_airbus/100911,1MEANTIMEcross,2,6,and,(ORG37154720003835631
24,corpus_airbus/100911,1MEANTIMEcross,2,7,Space,-
25,corpus_airbus/100911,1MEANTIMEcross,2,8,Company,-
26,corpus_airbus/100911,1MEANTIMEcross,2,9,EADS,-
27,corpus_airbus/100911,1MEANTIMEcross,2,10,N.,-
28,corpus_airbus/100911,1MEANTIMEcross,2,11,V.,ORG37154720003835631)
29,corpus_airbus/100911,1MEANTIMEcross,2,12,(,-
30,corpus_airbus/100911,1MEANTIMEcross,2,13,EADS,-
31,corpus_airbus/100911,1MEANTIMEcross,2,14,),-
32,corpus_airbus/100911,1MEANTIMEcross,2,15,",",-
33,corpus_airbus/100911,1MEANTIMEcross,2,16,het,ORG37154720003835631)
34,corpus_airbus/100911,1MEANTIMEcross,2,17,moederbedrijf,-
35,corpus_airbus/100911,1MEANTIMEcross,2,18,van,-
36,corpus_airbus/100911,1MEANTIMEcross,2,19,Airbus,(ORG37154720003835631
37,corpus_airbus/100911,1MEANTIMEcross,2,20,",",-
38,corpus_airbus/100911,1MEANTIMEcross,2,21,hebben,-
39,corpus_airbus/100911,1MEANTIMEcross,2,22,onverwacht,-
40,corpus_airbus/100911,1MEANTIMEcross,2,23,Boeing,(ORG37154719725500990)
41,corpus_airbus/100911,1MEANTIMEcross,2,24,verslagen,(OTH40007248568632246)
42,corpus_airbus/100911,1MEANTIMEcross,2,25,in,-
43,corpus_airbus/100911,1MEANTIMEcross,2,26,een,-
44,corpus_airbus/100911,1MEANTIMEcross,2,27,contract,-
45,corpus_airbus/100911,1MEANTIMEcross,2,28,ter,-
46,corpus_airbus/100911,1MEANTIMEcross,2,29,waarde,-
47,corpus_airbus/100911,1MEANTIMEcross,2,30,van,(FIN39498080489558939
48,corpus_airbus/100911,1MEANTIMEcross,2,31,US,-
49,corpus_airbus/100911,1MEANTIMEcross,2,32,$,-
50,corpus_airbus/100911,1MEANTIMEcross,2,33,40,-
51,corpus_airbus/100911,1MEANTIMEcross,2,34,miljard,FIN39498080489558939)
52,corpus_airbus/100911,1MEANTIMEcross,2,35,(,-
53,corpus_airbus/100911,1MEANTIMEcross,2,36,GB,-
54,corpus_airbus/100911,1MEANTIMEcross,2,37,#,-
55,corpus_airbus/100911,1MEANTIMEcross,2,38,"20,1",-
56,corpus_airbus/100911,1MEANTIMEcross,2,39,miljard,-
57,corpus_airbus/100911,1MEANTIMEcross,2,40,),-
58,corpus_airbus/100911,1MEANTIMEcross,2,41,om,-
59,corpus_airbus/100911,1MEANTIMEcross,2,42,179,(PRO39498261379485028
60,corpus_airbus/100911,1MEANTIMEcross,2,43,nieuwe,-
61,corpus_airbus/100911,1MEANTIMEcross,2,44,tankvliegtuigen,PRO39498261379485028)
62,corpus_airbus/100911,1MEANTIMEcross,2,45,te,-
63,corpus_airbus/100911,1MEANTIMEcross,2,46,leveren,(OTH40008832085658797)
64,corpus_airbus/100911,1MEANTIMEcross,2,47,aan,-
65,corpus_airbus/100911,1MEANTIMEcross,2,48,de,-
66,corpus_airbus/100911,1MEANTIMEcross,2,49,United,-
67,corpus_airbus/100911,1MEANTIMEcross,2,50,States,-
68,corpus_airbus/100911,1MEANTIMEcross,2,51,Air,-
69,corpus_airbus/100911,1MEANTIMEcross,2,52,Force,-
70,corpus_airbus/100911,1MEANTIMEcross,2,53,(,-
71,corpus_airbus/100911,1MEANTIMEcross,2,54,USAF,-
72,corpus_airbus/100911,1MEANTIMEcross,2,55,),-
73,corpus_airbus/100911,1MEANTIMEcross,2,56,",",-
74,corpus_airbus/100911,1MEANTIMEcross,2,57,waarbij,-
75,corpus_airbus/100911,1MEANTIMEcross,2,58,15,-
76,corpus_airbus/100911,1MEANTIMEcross,2,59,tankers,-
77,corpus_airbus/100911,1MEANTIMEcross,2,60,per,-
78,corpus_airbus/100911,1MEANTIMEcross,2,61,jaar,-
79,corpus_airbus/100911,1MEANTIMEcross,2,62,zullen,-
80,corpus_airbus/100911,1MEANTIMEcross,2,63,worden,-
81,corpus_airbus/100911,1MEANTIMEcross,2,64,opgeleverd,(OTH40008832085658797)
82,corpus_airbus/100911,1MEANTIMEcross,2,65,.,-
83,corpus_airbus/100911,1MEANTIMEcross,3,0,Het,(FIN39498080489558939)
84,corpus_airbus/100911,1MEANTIMEcross,3,1,is,-
85,corpus_airbus/100911,1MEANTIMEcross,3,2,het,-
86,corpus_airbus/100911,1MEANTIMEcross,3,3,grootste,FIN39498080489558939)
87,corpus_airbus/100911,1MEANTIMEcross,3,4,contract,(FIN39498080489558939
88,corpus_airbus/100911,1MEANTIMEcross,3,5,in,-
89,corpus_airbus/100911,1MEANTIMEcross,3,6,zijn,-
90,corpus_airbus/100911,1MEANTIMEcross,3,7,soort,-
91,corpus_airbus/100911,1MEANTIMEcross,3,8,sinds,-
92,corpus_airbus/100911,1MEANTIMEcross,3,9,het,(FIN39498038043532812
93,corpus_airbus/100911,1MEANTIMEcross,3,10,Joint,-
94,corpus_airbus/100911,1MEANTIMEcross,3,11,Strike,-
95,corpus_airbus/100911,1MEANTIMEcross,3,12,Fighter-programma,FIN39498038043532812)
96,corpus_airbus/100911,1MEANTIMEcross,3,13,.,-
97,corpus_airbus/100911,1MEANTIMEcross,4,0,Bij,-
98,corpus_airbus/100911,1MEANTIMEcross,4,1,dat,(FIN39498038043532812
99,corpus_airbus/100911,1MEANTIMEcross,4,2,contract,FIN39498038043532812)
100,corpus_airbus/100911,1MEANTIMEcross,4,3,ging,(OTH40008523134673070)
101,corpus_airbus/100911,1MEANTIMEcross,4,4,het,-
102,corpus_airbus/100911,1MEANTIMEcross,4,5,tussen,-
103,corpus_airbus/100911,1MEANTIMEcross,4,6,Boeing,(ORG37154719725500990)
104,corpus_airbus/100911,1MEANTIMEcross,4,7,en,-
105,corpus_airbus/100911,1MEANTIMEcross,4,8,Lockheed,(ORG27736335435583953
106,corpus_airbus/100911,1MEANTIMEcross,4,9,Martin,ORG27736335435583953)
107,corpus_airbus/100911,1MEANTIMEcross,4,10,",",-
108,corpus_airbus/100911,1MEANTIMEcross,4,11,waarbij,-
109,corpus_airbus/100911,1MEANTIMEcross,4,12,deze,ORG27736335435583953)
110,corpus_airbus/100911,1MEANTIMEcross,4,13,laatste,(ORG27736335435583953
111,corpus_airbus/100911,1MEANTIMEcross,4,14,uiteindelijk,-
112,corpus_airbus/100911,1MEANTIMEcross,4,15,het,FIN39498038043532812)
113,corpus_airbus/100911,1MEANTIMEcross,4,16,contract,(FIN39498038043532812
114,corpus_airbus/100911,1MEANTIMEcross,4,17,kreeg,(OTH40009451639438359)
115,corpus_airbus/100911,1MEANTIMEcross,4,18,.,-
116,corpus_airbus/100911,1MEANTIMEcross,5,0,Defensieanalist,-
117,corpus_airbus/100911,1MEANTIMEcross,5,1,Paul,PER39498226897787418)| PER39498226897787418)
118,corpus_airbus/100911,1MEANTIMEcross,5,2,Nesbit,(PER39498226897787418
119,corpus_airbus/100911,1MEANTIMEcross,5,3,van,-
120,corpus_airbus/100911,1MEANTIMEcross,5,4,JSA,-
121,corpus_airbus/100911,1MEANTIMEcross,5,5,Research,(PER39498226897787418
122,corpus_airbus/100911,1MEANTIMEcross,5,6,zei,(SPE40011676691850905)
123,corpus_airbus/100911,1MEANTIMEcross,5,7,dat,-
124,corpus_airbus/100911,1MEANTIMEcross,5,8,Maintenance,-
125,corpus_airbus/100911,1MEANTIMEcross,5,9,",",-
126,corpus_airbus/100911,1MEANTIMEcross,5,10,Repair,OTH40008686172178296)
