,topic/subtopic_name,doc_id,sent_id,token_id,token,reference
0,corpus_airbus/100911,1MEANTIMEcross,0,0,Northrop,(ORG37154720130514282
1,corpus_airbus/100911,1MEANTIMEcross,0,1,Grumman,ORG37154720130514282)
2,corpus_airbus/100911,1MEANTIMEcross,0,2,and,-
3,corpus_airbus/100911,1MEANTIMEcross,0,3,Airbus,(ORG37154720003835631| (ORG37154719430036883)
4,corpus_airbus/100911,1MEANTIMEcross,0,4,parent,-
5,corpus_airbus/100911,1MEANTIMEcross,0,5,EADS,(ORG37154720003835631)| ORG37154720003835631)
6,corpus_airbus/100911,1MEANTIMEcross,0,6,defeat,(OTH40007248568632246)
7,corpus_airbus/100911,1MEANTIMEcross,0,7,Boeing,(ORG37154719725500990)
8,corpus_airbus/100911,1MEANTIMEcross,0,8,for,-
9,corpus_airbus/100911,1MEANTIMEcross,0,9,$,(FIN39498080489558939
10,corpus_airbus/100911,1MEANTIMEcross,0,10,40,-
11,corpus_airbus/100911,1MEANTIMEcross,0,11,billion,-
12,corpus_airbus/100911,1MEANTIMEcross,0,12,US,-
13,corpus_airbus/100911,1MEANTIMEcross,0,13,airtanker,-
14,corpus_airbus/100911,1MEANTIMEcross,0,14,contract,FIN39498080489558939)
15,corpus_airbus/100911,1MEANTIMEcross,1,0,March,-
16,corpus_airbus/100911,1MEANTIMEcross,1,1,01,-
17,corpus_airbus/100911,1MEANTIMEcross,1,2,",",-
18,corpus_airbus/100911,1MEANTIMEcross,1,3,2008,-
19,corpus_airbus/100911,1MEANTIMEcross,2,0,Northrop,(ORG37154720130514282
20,corpus_airbus/100911,1MEANTIMEcross,2,1,Grumman,ORG37154720130514282)
21,corpus_airbus/100911,1MEANTIMEcross,2,2,and,-
22,corpus_airbus/100911,1MEANTIMEcross,2,3,Airbus,(ORG37154720003835631| (ORG37154720003835631| (ORG37154719430036883)
23,corpus_airbus/100911,1MEANTIMEcross,2,4,parent,-
24,corpus_airbus/100911,1MEANTIMEcross,2,5,company,-
25,corpus_airbus/100911,1MEANTIMEcross,2,6,European,-
26,corpus_airbus/100911,1MEANTIMEcross,2,7,Aeronautic,-
27,corpus_airbus/100911,1MEANTIMEcross,2,8,Defence,-
28,corpus_airbus/100911,1MEANTIMEcross,2,9,and,-
29,corpus_airbus/100911,1MEANTIMEcross,2,10,Space,-
30,corpus_airbus/100911,1MEANTIMEcross,2,11,Company,-
31,corpus_airbus/100911,1MEANTIMEcross,2,12,EADS,-
32,corpus_airbus/100911,1MEANTIMEcross,2,13,N.V.,ORG37154720003835631)
33,corpus_airbus/100911,1MEANTIMEcross,2,14,(,-
34,corpus_airbus/100911,1MEANTIMEcross,2,15,EADS,(ORG37154720003835631)| ORG37154720003835631)
35,corpus_airbus/100911,1MEANTIMEcross,2,16,),-
36,corpus_airbus/100911,1MEANTIMEcross,2,17,have,-
37,corpus_airbus/100911,1MEANTIMEcross,2,18,unexpectedly,-
38,corpus_airbus/100911,1MEANTIMEcross,2,19,defeated,(OTH40007248568632246)
39,corpus_airbus/100911,1MEANTIMEcross,2,20,Boeing,(ORG37154719725500990)
40,corpus_airbus/100911,1MEANTIMEcross,2,21,for,-
41,corpus_airbus/100911,1MEANTIMEcross,2,22,a,(FIN39498080489558939
42,corpus_airbus/100911,1MEANTIMEcross,2,23,US$,-
43,corpus_airbus/100911,1MEANTIMEcross,2,24,40,-
44,corpus_airbus/100911,1MEANTIMEcross,2,25,billion,-
45,corpus_airbus/100911,1MEANTIMEcross,2,26,(,-
46,corpus_airbus/100911,1MEANTIMEcross,2,27,GB,-
47,corpus_airbus/100911,1MEANTIMEcross,2,28,#,-
48,corpus_airbus/100911,1MEANTIMEcross,2,29,20.1,-
49,corpus_airbus/100911,1MEANTIMEcross,2,30,billion,-
50,corpus_airbus/100911,1MEANTIMEcross,2,31,),-
51,corpus_airbus/100911,1MEANTIMEcross,2,32,contract,FIN39498080489558939)
52,corpus_airbus/100911,1MEANTIMEcross,2,33,to,-
53,corpus_airbus/100911,1MEANTIMEcross,2,34,supply,(OTH40008832085658797)
54,corpus_airbus/100911,1MEANTIMEcross,2,35,the,(ORG37154720392556611
55,corpus_airbus/100911,1MEANTIMEcross,2,36,United,-
56,corpus_airbus/100911,1MEANTIMEcross,2,37,States,-
57,corpus_airbus/100911,1MEANTIMEcross,2,38,Air,-
58,corpus_airbus/100911,1MEANTIMEcross,2,39,Force,-
59,corpus_airbus/100911,1MEANTIMEcross,2,40,(,-
60,corpus_airbus/100911,1MEANTIMEcross,2,41,USAF,ORG37154720392556611)| (ORG37154720392556611)
61,corpus_airbus/100911,1MEANTIMEcross,2,42,),-
62,corpus_airbus/100911,1MEANTIMEcross,2,43,with,-
63,corpus_airbus/100911,1MEANTIMEcross,2,44,179,(PRO39498261379485028
64,corpus_airbus/100911,1MEANTIMEcross,2,45,new,-
65,corpus_airbus/100911,1MEANTIMEcross,2,46,aerial,(PRO39496959734511487
66,corpus_airbus/100911,1MEANTIMEcross,2,47,refueling,-
67,corpus_airbus/100911,1MEANTIMEcross,2,48,tankers,PRO39496959734511487)| PRO39498261379485028)
68,corpus_airbus/100911,1MEANTIMEcross,2,49,at,-
69,corpus_airbus/100911,1MEANTIMEcross,2,50,a,-
70,corpus_airbus/100911,1MEANTIMEcross,2,51,rate,-
71,corpus_airbus/100911,1MEANTIMEcross,2,52,of,-
72,corpus_airbus/100911,1MEANTIMEcross,2,53,15,-
73,corpus_airbus/100911,1MEANTIMEcross,2,54,a,-
74,corpus_airbus/100911,1MEANTIMEcross,2,55,year,-
75,corpus_airbus/100911,1MEANTIMEcross,2,56,.,-
76,corpus_airbus/100911,1MEANTIMEcross,3,0,It,(FIN39498080489558939)
77,corpus_airbus/100911,1MEANTIMEcross,3,1,is,-
78,corpus_airbus/100911,1MEANTIMEcross,3,2,the,(FIN39498128122418767
79,corpus_airbus/100911,1MEANTIMEcross,3,3,biggest,-
80,corpus_airbus/100911,1MEANTIMEcross,3,4,contract,-
81,corpus_airbus/100911,1MEANTIMEcross,3,5,of,-
82,corpus_airbus/100911,1MEANTIMEcross,3,6,its,-
83,corpus_airbus/100911,1MEANTIMEcross,3,7,kind,FIN39498128122418767)
84,corpus_airbus/100911,1MEANTIMEcross,3,8,since,-
85,corpus_airbus/100911,1MEANTIMEcross,3,9,the,-
86,corpus_airbus/100911,1MEANTIMEcross,3,10,Joint,-
87,corpus_airbus/100911,1MEANTIMEcross,3,11,Strike,-
88,corpus_airbus/100911,1MEANTIMEcross,3,12,Fighter,-
89,corpus_airbus/100911,1MEANTIMEcross,3,13,program,-
90,corpus_airbus/100911,1MEANTIMEcross,3,14,.,-
91,corpus_airbus/100911,1MEANTIMEcross,4,0,That,(FIN39498038043532812
92,corpus_airbus/100911,1MEANTIMEcross,4,1,contract,FIN39498038043532812)
93,corpus_airbus/100911,1MEANTIMEcross,4,2,was,-
94,corpus_airbus/100911,1MEANTIMEcross,4,3,fought,(OTH40008523134673070)
95,corpus_airbus/100911,1MEANTIMEcross,4,4,for,-
96,corpus_airbus/100911,1MEANTIMEcross,4,5,between,-
97,corpus_airbus/100911,1MEANTIMEcross,4,6,Boeing,(ORG37154719725500990)
98,corpus_airbus/100911,1MEANTIMEcross,4,7,and,-
99,corpus_airbus/100911,1MEANTIMEcross,4,8,Lockheed,(ORG27736335435583953
100,corpus_airbus/100911,1MEANTIMEcross,4,9,Martin,ORG27736335435583953)
101,corpus_airbus/100911,1MEANTIMEcross,4,10,",",-
102,corpus_airbus/100911,1MEANTIMEcross,4,11,Lockheed,(ORG27736335435583953)
103,corpus_airbus/100911,1MEANTIMEcross,4,12,ultimately,-
104,corpus_airbus/100911,1MEANTIMEcross,4,13,winning,(OTH40009451639438359)
105,corpus_airbus/100911,1MEANTIMEcross,4,14,the,-
106,corpus_airbus/100911,1MEANTIMEcross,4,15,contest,-
107,corpus_airbus/100911,1MEANTIMEcross,4,16,.,-
108,corpus_airbus/100911,1MEANTIMEcross,5,0,JSA,(PER39498226897787418| (PER39498226897787418
109,corpus_airbus/100911,1MEANTIMEcross,5,1,Research,-
110,corpus_airbus/100911,1MEANTIMEcross,5,2,defence,-
111,corpus_airbus/100911,1MEANTIMEcross,5,3,analysist,PER39498226897787418)
112,corpus_airbus/100911,1MEANTIMEcross,5,4,Paul,(PER39498226897787418
113,corpus_airbus/100911,1MEANTIMEcross,5,5,Nesbit,PER39498226897787418)| PER39498226897787418)
114,corpus_airbus/100911,1MEANTIMEcross,5,6,said,-
115,corpus_airbus/100911,1MEANTIMEcross,5,7,that,-
116,corpus_airbus/100911,1MEANTIMEcross,5,8,Maintenance,-
117,corpus_airbus/100911,1MEANTIMEcross,5,9,",",-
118,corpus_airbus/100911,1MEANTIMEcross,5,10,Repair,-
119,corpus_airbus/100911,1MEANTIMEcross,5,11,and,-
120,corpus_airbus/100911,1MEANTIMEcross,5,12,Overhaul,-
121,corpus_airbus/100911,1MEANTIMEcross,5,13,(,-
122,corpus_airbus/100911,1MEANTIMEcross,5,14,MRO,-
123,corpus_airbus/100911,1MEANTIMEcross,5,15,),-
124,corpus_airbus/100911,1MEANTIMEcross,5,16,operations,(OTH40008686172178296)
125,corpus_airbus/100911,1MEANTIMEcross,5,17,across,-
126,corpus_airbus/100911,1MEANTIMEcross,5,18,the,(PRO39498261379485028
